BBL,Year,Zip,count,Zop
1002710044,11,10002,1,10002
1002710046,21,10002,2,10002
1002710047,12,10002,1,10002
1002710048,16,10002,2,10002
1002710048,19,10002,1,10002
1002710050,14,10002,1,10002
1002710051,16,10002,1,10002
1002710054,16,10002,1,10002
1002710055,16,10002,1,10002
1002710061,12,10002,1,10002
1002710061,13,10002,1,10002
1002710061,15,10002,1,10002
1002710062,12,10002,1,10002
1002710062,14,10002,1,10002
1002710064,20,10002,1,10002
1002710065,18,10002,1,10002
1002730001,12,10002,1,10002
1002730019,15,10002,1,10002
1002730020,11,10002,1,10002
1002730020,13,10002,3,10002
1002730020,14,10002,3,10002
1002730024,14,10002,1,10002
1002730026,12,10002,1,10002
1002730026,15,10002,1,10002
1002730026,18,10002,1,10002
1002740003,18,10002,1,10002
1002740014,13,10002,1,10002
1002740038,12,10002,1,10002
1002740045,13,10002,1,10002
1002740045,20,10002,1,10002
1002747502,19,10002,1,10002
1002750001,11,10002,1,10002
1002750001,13,10002,1,10002
1002750001,15,10002,1,10002
1002750001,16,10002,1,10002
1002750001,17,10002,2,10002
1002750001,19,10002,1,10002
1002750020,18,10002,3,10002
