"Year","Borough","Neighborhood","Total","Humans","sq_meter","human_rat_ratio","rats_per_sqft"
16,"QUEENS","NORTH QUEENS",23193.96462,261257,30809688,0.0887783470682125,0.000752814005127218
17,"QUEENS","NORTH QUEENS",25401.4273,262378,30809688,0.096812336781285,0.00082446233470459
18,"QUEENS","NORTH QUEENS",25749.11215,256128,30809688,0.10053220323432,0.00083574725424029
19,"QUEENS","NORTH QUEENS",32611.56717,253041,30809688,0.128878589517114,0.00105848417452329
20,"QUEENS","NORTH QUEENS",35831.36955,253562,30809688,0.141312063913362,0.00116299034089537
11,"BRONX","NORTHEAST BRONX",50491.66667,200571,19794800,0.251739616744195,0.00255075407026088
12,"BRONX","NORTHEAST BRONX",69866.66666,200483,19794800,0.348491725782236,0.00352954647988361
13,"BRONX","NORTHEAST BRONX",70218.75,200533,19794800,0.350160572075419,0.00354733313799584
14,"BRONX","NORTHEAST BRONX",44134.61538,201360,19794800,0.219182634982122,0.00222960653201851
15,"BRONX","NORTHEAST BRONX",52031.25,202651,19794800,0.256752989129094,0.00262853123042415
16,"BRONX","NORTHEAST BRONX",50386.88866,202632,19794800,0.248662050712622,0.00254546086143836
17,"BRONX","NORTHEAST BRONX",58240,205410,19794800,0.283530499975658,0.00294218683694708
18,"BRONX","NORTHEAST BRONX",51178.94737,204989,19794800,0.249666798559923,0.00258547433517894
19,"BRONX","NORTHEAST BRONX",47663.05971,205957,19794800,0.231422382876037,0.0024078576045224
20,"BRONX","NORTHEAST BRONX",49129.60979,206360,19794800,0.238077194175228,0.00248194524774183
11,"QUEENS","NORTHEAST QUEENS",8216.712709,88842,19709110,0.0924868047657639,0.000416899226246137
12,"QUEENS","NORTHEAST QUEENS",5820.538243,89965,19709110,0.0646978074028789,0.000295322226269984
13,"QUEENS","NORTHEAST QUEENS",3896.433567,90567,19709110,0.0430226635198251,0.000197697083582161
14,"QUEENS","NORTHEAST QUEENS",6759.745223,90776,19709110,0.0744662159932141,0.000342975670793861
